연도,지방청,처분인원,현역,보충역,전시근로역,병역면제,재신체검사
2019,전체,323763,263338,43724,8931,1202,6568
2019,서울,55189,44341,7885,1566,225,1172
2019,부산울산,27035,21990,3541,809,107,588
2019,대구경북,32240,26456,4056,848,97,783
2019,경인,46041,37213,6039,1355,157,1277
2019,광주전남,22313,18265,2902,601,83,462
2019,대전충남,24311,20041,3205,609,87,369
2019,강원,6104,4959,832,160,18,135
2019,충북,9922,8151,1353,259,36,123
2019,전북,12280,9854,1832,411,57,126
2019,경남,21504,17763,2647,538,71,485
2019,제주,4347,3493,635,139,16,64
2019,인천,35736,29166,5052,899,133,486
2019,경기북부,23064,18613,3258,634,98,461
2019,강원영동,3677,3033,487,103,17,37
